,"Chinese_by夏堇"
"_RgbNormalAUV","UV"
"_RgbNormalAStochastic","随机采样"
"_RgbNormalAScale","强度"
"m_end_rgbanormals","结束 RGBA 法线"
"m_end_RGBMask","结束 RGB 颜色遮罩"
"m_start_DecalSection","贴花部分"
"_DecalMask","贴花 RGBA 遮罩"
"_DecalMaskPan","平移"
"_DecalMaskUV","UV"
"_DecalTPSDepthMaskEnabled","<size=13><b> TPS 深度</b></size>"
"_Decal0TPSMaskStrength","遮罩 R 强度"
"_Decal1TPSMaskStrength","遮罩 G 强度"
"_Decal2TPSMaskStrength","遮罩 B 强度"
"_Decal3TPSMaskStrength","遮罩 A 强度"
"m_start_Decal0","贴花 0"
"_DecalEnabled",""
"_Decal0MaskChannel","遮罩通道"
"_Decal0GlobalMask","全局遮罩"
"_Decal0GlobalMaskBlendType","混合"
"_DecalColor","颜色"
"_DecalEmissionStrength","发射强度"
"_DecalTexture","贴花"
"_DecalTexturePan","平移"
"_DecalTextureUV","UV"
"_DecalTiled","平铺的"
"_Decal0Depth","深度"
"_DecalScale","规模"
"_DecalSideOffset","侧面偏移"
"_DecalPosition","位置"
"_DecalRotation","回转"
"_DecalRotationSpeed","旋转速度"
"_DecalBlendType","混合"
"_DecalBlendAlpha","Alpha"
"_DecalOverrideAlpha","覆盖Alpha"
"_Decal0ApplyGlobalMaskIndex","适用于全局遮罩"
"_Decal0ApplyGlobalMaskBlendType","混合"
"_DecalHueShiftEnabled","<size=13><b>色调偏移</b></size>"
"_DecalHueShiftSpeed","色相偏移速度"
"_DecalHueShift","色相偏移"
"_Decal0HueAngleStrength","色相角强度"
"_Decal0ChannelSeparationEnable","<size=13><b>通道分离</b></size>"
"_Decal0ChannelSeparation","通道分离强度"
"_Decal0ChannelSeparationAngleStrength","角度分离强度"
"_Decal0ChannelSeparationHue","通道分离色调"
"_Decal0ChannelSeparationVertical","垂直分离"
"_Decal0ChannelSeparationPremultiply","预乘Alpha"
"m_start_Decal0AudioLink","音频链接 ♫"
"_AudioLinkDecal0ScaleBand","音频带比例"
"_AudioLinkDecal0Scale","比例"
"_AudioLinkDecal0SideBand","侧带"
"_AudioLinkDecal0SideMin","最小侧带"
"_AudioLinkDecal0SideMax","最大侧带"
"_AudioLinkDecal0RotationBand","旋转频带"
"_AudioLinkDecal0Rotation","旋转"
"_AudioLinkDecal0AlphaBand","Alpha频带"
"_AudioLinkDecal0Alpha","Alpha"
"_AudioLinkDecal0EmissionBand","发射频带"
"_AudioLinkDecal0Emission","发射"
"_AudioLinkDecalCC0","CC条带"
"_DecalRotationCTALBand0","旋转控制频带"
"_DecalRotationCTALType0","计时旋转类型"
"_DecalRotationCTALSpeed0","计时旋转速度"
"_AudioLinkDecal0ChannelSeparationBand","音频通道分离频带"
"_AudioLinkDecal0ChannelSeparation","音频通道分离"
"m_end_Decal0AudioLink","音频链接结束"
"m_end_Decal0","贴花 0 结束"
"m_start_Decal1","贴花 1 "
"_DecalEnabled1",""
"_Decal1MaskChannel","遮罩通道"
"_Decal1GlobalMask","全局遮罩"
"_Decal1GlobalMaskBlendType","全局遮罩混合类型"
"_DecalColor1","颜色"
"_DecalEmissionStrength1","发光强度"
"_DecalTexture1","贴花纹理"
"_DecalTexture1Pan","纹理平移"
"_DecalTexture1UV","纹理UV"
"_DecalTiled1","平铺"
"_Decal1Depth","深度"
"_DecalScale1","缩放"
"_DecalSideOffset1","侧面偏移"
"_DecalPosition1","位置"
"_DecalRotation1","旋转"
"_DecalRotationSpeed1","旋转速度"
"_DecalBlendType1","混合类型"
"_DecalBlendAlpha1","混合Alpha"
"_DecalOverrideAlpha1","覆盖Alpha"
"_Decal1ApplyGlobalMaskIndex","应用全局遮罩索引"
"_Decal1ApplyGlobalMaskBlendType","应用全局遮罩混合类型"
"_DecalHueShiftEnabled1","<size=13><b>色相偏移</b></size>"
"_DecalHueShiftSpeed1","色相偏移速度"
"_DecalHueShift1","色相偏移"
"_Decal1HueAngleStrength","色相角度强度"
"_Decal1ChannelSeparationEnable","<size=13><b>通道分离</b></size>"
"_Decal1ChannelSeparation","通道分离强度"
"_Decal1ChannelSeparationAngleStrength","通道分离角度强度"
"_Decal1ChannelSeparationHue","通道分离色调"
"_Decal1ChannelSeparationVertical","垂直通道分离"
"_Decal1ChannelSeparationPremultiply","预乘Alpha"
"m_start_Decal1AudioLink","音频链接 ♫"
"_AudioLinkDecal1ScaleBand","音频链接贴花 1 缩放频带"
"_AudioLinkDecal1Scale","音频链接贴花 1 缩放"
"_AudioLinkDecal1SideBand","音频链接贴花 1 侧带"
"_AudioLinkDecal1SideMin","音频链接贴花 1 侧最小值"
"_AudioLinkDecal1SideMax","音频链接贴花 1 侧最大值"
"_AudioLinkDecal1RotationBand","音频链接贴花 1 旋转频带"
"_AudioLinkDecal1Rotation","音频链接贴花 1 旋转"
"_AudioLinkDecal1AlphaBand","音频链接贴花 1 Alpha频带"
"_AudioLinkDecal1Alpha","音频链接贴花 1 Alpha"
"_AudioLinkDecal1EmissionBand","音频链接贴花 1 发射频带"
"_AudioLinkDecal1Emission","音频链接贴花 1 发射"
"_AudioLinkDecalCC1","音频链接贴花 CC 1"
"_DecalRotationCTALBand1","贴花 1 计时旋转频带"
"_DecalRotationCTALType1","贴花 1 计时旋转类型"
"_DecalRotationCTALSpeed1","贴花 1 计时旋转速度"
"_AudioLinkDecal1ChannelSeparationBand","音频链接贴花 1 通道分离频带"
"_AudioLinkDecal1ChannelSeparation","音频链接贴花 1 通道分离"
"m_end_Decal1AudioLink","结束贴花 1 音频链接"
"m_end_Decal1","结束贴花 1"
"m_start_Decal2","贴花 2"
"_DecalEnabled2","贴花 2"
"_Decal2MaskChannel","贴花 2 遮罩通道"
"_Decal2GlobalMask","贴花 2 全局遮罩"
"_Decal2GlobalMaskBlendType","贴花 2 混合类型"
"_DecalColor2","贴花 2 颜色"
"_DecalEmissionStrength2","贴花 2 发射强度"
"_DecalTexture2","贴花 2 纹理"
"_DecalTexture2Pan","贴花 2 平移"
"_DecalTexture2UV","贴花 2 UV"
"_DecalTiled2","贴花 2 平铺"
"_Decal2Depth","贴花 2 深度"
"_DecalScale2","贴花 2 规模"
"_DecalSideOffset2","贴花 2 侧面偏移"
"_DecalPosition2","贴花 2 位置"
"_DecalRotation2","贴花 2 旋转"
"_DecalRotationSpeed2","贴花 2 旋转速度"
"_DecalBlendType2","贴花 2 混合方式"
"_DecalBlendAlpha2","贴花 2 Alpha混合"
"_DecalOverrideAlpha2","贴花 2 覆盖 Alpha"
"_Decal2ApplyGlobalMaskIndex","贴花 2 应用全局遮罩索引"
"_Decal2ApplyGlobalMaskBlendType","贴花 2 全局遮罩混合方式"
"_DecalHueShiftEnabled2","<size=13><b>贴花 2 色相偏移</b></size>"
"_DecalHueShiftSpeed2","贴花 2 色相偏移速度"
"_DecalHueShift2","贴花 2 色相偏移"
"_Decal2HueAngleStrength","贴花 2 色相角度强度"
"_Decal2ChannelSeparationEnable","<size=13><b>通道分离</b></size>"
"_Decal2ChannelSeparation","通道分离强度"
"_Decal2ChannelSeparationAngleStrength","通道分离角度强度"
"_Decal2ChannelSeparationHue","通道分离色调"
"_Decal2ChannelSeparationVertical","垂直通道分离"
"_Decal2ChannelSeparationPremultiply","预乘Alpha"
"m_start_Decal2AudioLink","音频链接 ♫"
"_AudioLinkDecal2ScaleBand","音频比例频带"
"_AudioLinkDecal2Scale","比例"
"_AudioLinkDecal2SideBand","侧频带"
"_AudioLinkDecal2SideMin","最小侧带"
"_AudioLinkDecal2SideMax","最大侧带"
"_AudioLinkDecal2RotationBand","旋转频带"
"_AudioLinkDecal2Rotation","旋转"
"_AudioLinkDecal2AlphaBand","Alpha频带"
"_AudioLinkDecal2Alpha","Alpha"
"_AudioLinkDecal2EmissionBand","发射频带"
"_AudioLinkDecal2Emission","发射"
"_AudioLinkDecalCC2","CC频带"
"_DecalRotationCTALBand2","旋转控制频带"
"_DecalRotationCTALType2","计时旋转类型"
"_DecalRotationCTALSpeed2","计时旋转速度"
"_AudioLinkDecal2ChannelSeparationBand","音频通道分离频带"
"_AudioLinkDecal2ChannelSeparation","音频通道分离"
"m_end_Decal2AudioLink","音频链接结束"
"m_end_Decal2","贴花 2 结束"
"m_start_Decal3","贴花 3 "
"_DecalEnabled3",""
"_Decal3MaskChannel","遮罩通道"
"_Decal3GlobalMask","全局遮罩"
"_Decal3GlobalMaskBlendType","全局遮罩混合类型"
"_DecalColor3","颜色"
"_DecalEmissionStrength3","发光强度"
"_DecalTexture3","贴花纹理"
"_DecalTexture3Pan","纹理平移"
"_DecalTexture3UV","纹理UV"
"_DecalTiled3","平铺"
"_Decal3Depth","深度"
"_DecalScale3","缩放"
"_DecalSideOffset3","侧面偏移"
"_DecalPosition3","位置"
"_DecalRotation3","回转"
"_DecalRotationSpeed3","旋转速度"
"_DecalBlendType3","混合"
"_DecalBlendAlpha3","Α"
"_DecalOverrideAlpha3","覆盖Alpha"
"_Decal3ApplyGlobalMaskIndex","适用于全局遮罩"
"_Decal3ApplyGlobalMaskBlendType","混合"
"_DecalHueShiftEnabled3","<size=13><b>色相偏移</b></size>"
"_DecalHueShiftSpeed3","换档速度"
"_DecalHueShift3","色相偏移"
"_Decal3HueAngleStrength","色相角功率"
"_Decal3ChannelSeparationEnable","<size=13><b>通道分离</b></size>"
"_Decal3ChannelSeparationMode","方向模式"
"_Decal3ChannelSeparation","强度"
"_Decal3ChannelSeparationAngleStrength","表面角强度"
"_Decal3ChannelSeparationHue","色调"
"_Decal3ChannelSeparationVertical","方向"
"_Decal3ChannelSeparationPremultiply","预乘 Alpha"
"m_start_Decal3AudioLink","音频链接 ♫"
"_AudioLinkDecal3ScaleBand","音频比例频带"
"_AudioLinkDecal3Scale","比例"
"_AudioLinkDecal3SideBand","侧频带"
"_AudioLinkDecal3SideMin","最小侧带"
"_AudioLinkDecal3SideMax","最大侧带"
"_AudioLinkDecal3RotationBand","旋转频带"
"_AudioLinkDecal3Rotation","旋转"
"_AudioLinkDecal3AlphaBand","Alpha频带"
"_AudioLinkDecal3Alpha","Alpha"
"_AudioLinkDecal3EmissionBand","发射频带"
"_AudioLinkDecal3Emission","发射"
"_AudioLinkDecalCC3","CC频带"
"_DecalRotationCTALBand3","旋转控制频带"
"_DecalRotationCTALType3","计时旋转类型"
"_DecalRotationCTALSpeed3","计时旋转速度"
"_AudioLinkDecal3ChannelSeparationBand","音频通道分离频带"
"_AudioLinkDecal3ChannelSeparation","音频通道分离"
"m_end_Decal3AudioLink","音频链接结束"
"m_end_Decal3","贴花 3 结束"
"m_end_DecalSection","贴花部分结束"
"m_start_tps_penetrator","穿透者"
"m_start_pen_autoConfig","自动配置"
"_TPS_PenetratorLength","穿透体长度"
"_TPS_PenetratorScale","穿透体比例"
"_TPS_PenetratorRight","穿透体右向量"
"_TPS_PenetratorUp","穿透体上向量"
"_TPS_PenetratorForward","穿透体前向量"
"_TPS_IsSkinnedMeshRenderer","是否为蒙皮网格渲染器"
"_TPS_BakedMesh","烘焙网格"
"m_end_pen_autoConfig","TPS"
"_TPSHelpbox","穿透器允许您的网格沿孔口方向弯曲。它与DPS完全兼容。随后需要运行 TPS 设置向导。单击此处打开设置窗口。"
"_TPSPenetratorEnabled",""
"_TPS_AnimatedToggle","动画切换"
"_TPSBezierHeader","贝塞尔"
"_TPS_BezierStart","贝塞尔曲线起点"
"_TPS_BezierSmoothness","贝塞尔平滑度"
"_TPS_SmoothStart","平滑启动"
"_TPSSqueezeHeader","挤压"
"_TPS_Squeeze","挤压强度"
"_TPS_SqueezeDistance","挤压距离"
"_TPSBuldgeHeader","凸出"
"_TPS_Buldge","凸出强度"
"_TPS_BuldgeDistance","凸出距离"
"_TPS_BuldgeFalloffDistance","凸出衰减距离"
"_TPSPulsingHeader","脉动"
"_TPS_PumpingStrength","脉动强度"
"_TPS_PumpingSpeed","脉动速度"
"_TPS_PumpingWidth","脉动宽度"
"_TPSIdleHeader","闲置"
"_TPS_IdleGravity","提示：对于闲置重力和运动，请使用物理骨骼重力和其他功能"
"_TPS_IdleSkrinkWidth","闲置收缩宽度"
"_TPS_IdleSkrinkLength","闲置收缩长度"
"_TPS_BufferedDepthGlobalMaskIndex","缓冲深度全局遮罩索引"
"_TPS_BufferedDepthGlobalMaskBlendType","全局遮罩混合类型"
"_TPS_BufferedDepth","缓冲深度"
"_TPS_BufferedStrength","缓冲强度"
"m_start_GlobalThemes","全局主题"
"m_start_GlobalThemeColor0","主题色0"
"_GlobalThemeColor0","主题色0"
"_GlobalThemeHue0","色调调整"
"_GlobalThemeHueSpeed0","色调调整速度"
"_GlobalThemeSaturation0","饱和度调整"
"_GlobalThemeValue0","亮度调整"
"m_end_GlobalThemeColor0","结束主题色0"
"m_start_GlobalThemeColor1","主题色1"
"_GlobalThemeColor1","主题色1"
"_GlobalThemeHue1","色调调整"
"_GlobalThemeHueSpeed1","色调调整速度"
"_GlobalThemeSaturation1","饱和度调整"
"_GlobalThemeValue1","数值调整"
"m_end_GlobalThemeColor1","主题色1"
"m_start_GlobalThemeColor2","主题色2"
"_GlobalThemeColor2","主题色2"
"_GlobalThemeHue2","色调调整"
"_GlobalThemeHueSpeed2","色调调整速度"
"_GlobalThemeSaturation2","饱和度调整"
"_GlobalThemeValue2","数值调整"
"m_end_GlobalThemeColor2","主题色2"
"m_start_GlobalThemeColor3","主题色3"
"_GlobalThemeColor3","主题色3"
"_GlobalThemeHue3","色调调整"
"_GlobalThemeHueSpeed3","色调调整速度"
"_GlobalThemeSaturation3","饱和度调整"
"_GlobalThemeValue3","数值调整"
"m_end_GlobalThemeColor3","主题色3"
"m_end_GlobalThemes","全局主题"
"m_start_GlobalMask","全局遮罩"
"m_start_GlobalMaskTextures","纹理"
"_GlobalMaskTexturesEnable","全局蒙版纹理"
"_GlobalMaskTexture0","全局蒙版纹理 1"
"_GlobalMaskTexture0Pan","平移"
"_GlobalMaskTexture0SplitTilingOffset_G","平铺/偏移"
"_GlobalMaskTexture0SplitPan_G","平移"
"_GlobalMaskTexture0SplitTilingOffset_B","平铺/偏移"
"_GlobalMaskTexture0SplitPan_B","平移"
"_GlobalMaskTexture0SplitTilingOffset_A","平铺/偏移"
"_GlobalMaskTexture0SplitPan_A","平移"
"_GlobalMaskTexture0Split","分割采样"
"_GlobalMaskTexture0UV","UV"
"_GlobalMaskTexture1","全局蒙版纹理 2"
"_GlobalMaskTexture1Pan","平移"
"_GlobalMaskTexture1SplitTilingOffset_G","平铺/偏移"
"_GlobalMaskTexture1SplitPan_G","平移"
"_GlobalMaskTexture1SplitTilingOffset_B","平铺/偏移"
"_GlobalMaskTexture1SplitPan_B","平移"
"_GlobalMaskTexture1SplitTilingOffset_A","平铺/偏移"
"_GlobalMaskTexture1SplitPan_A","平移"
"_GlobalMaskTexture1Split","分割采样"
"_GlobalMaskTexture1UV","UV"
"_GlobalMaskTexture2","全局蒙版纹理 3"
"_GlobalMaskTexture2Pan","平移"
"_GlobalMaskTexture2SplitTilingOffset_G","平铺/偏移"
"_GlobalMaskTexture2SplitPan_G","平移"
"_GlobalMaskTexture2SplitTilingOffset_B","平铺/偏移"
"_GlobalMaskTexture2SplitPan_B","平移"
"_GlobalMaskTexture2SplitTilingOffset_A","平铺/偏移"
"_GlobalMaskTexture2SplitPan_A","平移"
"_GlobalMaskTexture2Split","分割采样"
"_GlobalMaskTexture2UV","UV"
"_GlobalMaskTexture3","全局蒙版纹理 4"
"_GlobalMaskTexture3Pan","平移"
"_GlobalMaskTexture3SplitTilingOffset_G","平铺/偏移"
"_GlobalMaskTexture3SplitPan_G","平移"
"_GlobalMaskTexture3SplitTilingOffset_B","平铺/偏移"
"_GlobalMaskTexture3SplitPan_B","平移"
"_GlobalMaskTexture3SplitTilingOffset_A","平铺/偏移"
"_GlobalMaskTexture3SplitPan_A","平移"
"_GlobalMaskTexture3Split","分割采样"
"_GlobalMaskTexture3UV","UV"
"m_end_GlobalMaskTextures","全局遮罩纹理"
"m_start_GlobalMaskModifiers","全局遮罩相机"
"m_start_GlobalMaskModifiersBackface","背面遮蔽"
"_GlobalMaskModifiersBackfaceEnable","全局遮罩背面"
"_GlobalMaskBackface_0","1R"
"_GlobalMaskBackface_1","1G"
"_GlobalMaskBackface_2","1B"
"_GlobalMaskBackface_3","1A"
"_GlobalMaskBackface_4","2R"
"_GlobalMaskBackface_5","2G"
"_GlobalMaskBackface_6","2B"
"_GlobalMaskBackface_7","2A"
"_GlobalMaskBackface_8","3R"
"_GlobalMaskBackface_9","3G"
"_GlobalMaskBackface_10","3B"
"_GlobalMaskBackface_11","3A"
"_GlobalMaskBackface_12","4R"
"_GlobalMaskBackface_13","4G"
"_GlobalMaskBackface_14","4B"
"_GlobalMaskBackface_15","4A"
"m_start_GlobalMaskModifiersMirror","镜面遮蔽"
"_GlobalMaskModifiersMirrorEnable","全局遮罩镜面"
"_GlobalMaskMirrorVisibilityMode","镜面可见性模式"
"_GlobalMaskMirror_0","1R"
"_GlobalMaskMirror_1","1G"
"_GlobalMaskMirror_2","1B"
"_GlobalMaskMirror_3","1A"
"_GlobalMaskMirror_4","2R"
"_GlobalMaskMirror_5","2G"
"_GlobalMaskMirror_6","2B"
"_GlobalMaskMirror_7","2A"
"_GlobalMaskMirror_8","3R"
"_GlobalMaskMirror_9","3G"
"_GlobalMaskMirror_10","3B"
"_GlobalMaskMirror_11","3A"
"_GlobalMaskMirror_12","4R"
"_GlobalMaskMirror_13","4G"
"_GlobalMaskMirror_14","4B"
"_GlobalMaskMirror_15","4A"
